offender_id,name,total_cases,crime_types,districts,first_incident,last_incident
53b3e3953c39,Udyati Dhillon,12,"Crimes Against Body, Public Order Violations, Cheating & Fraud, Crimes Against Property, Other IPC Offences","BAGALKOT, BALLARI, BELAGAVI DIST, BENGALURU CITY, BENGALURU DIST",2017-01-29 23:50:00,2023-09-14 18:58:00
0e016e046636,Forum Dar,10,"Crimes Against Property, Crimes Against Body, Crimes Against Public Tranquility, Motor Vehicle Offences, Robbery & Dacoity","BAGALKOT, BALLARI, BELAGAVI CITY, BELAGAVI DIST, BENGALURU CITY",2016-01-25 22:20:00,2023-09-29 07:11:00
8ab35f29ae8c,Indira Sood,10,"Motor Vehicle Offences, Gambling & Betting, Cheating & Fraud, Crimes Against Body, Crimes Against Public Tranquility","BENGALURU CITY, BENGALURU DIST, BIDAR, GADAG, HASSAN",2016-06-05 06:30:00,2024-01-25 11:47:00
cd780e2bc4bf,Rachana Buch,10,"Crimes Against Body, Crimes Against Property, Other IPC Offences, Motor Vehicle Offences, Domestic Violence","BAGALKOT, BELAGAVI DIST, BENGALURU CITY, CHIKKAMAGALURU, HAVERI",2016-05-06 11:11:00,2021-01-21 16:29:00
fc72f0e2d59c,Harsh Nayak,9,"Crimes Against Property, Gambling & Betting, Crimes Against Body, Public Order Violations, Kidnapping & Abduction","BAGALKOT, BENGALURU CITY, CHITRADURGA, HASSAN, KALABURAGI",2017-08-23 19:29:00,2022-10-21 12:19:00
49e7028e2048,David Bhardwaj,9,"Crimes Against Body, Crimes Against Property, Gambling & Betting, Other IPC Offences, Cheating & Fraud","BAGALKOT, BALLARI, BELAGAVI DIST, CHICKBALLAPURA, MANDYA",2016-01-09 20:53:00,2023-02-08 21:55:00
be4dd614e911,Yashica Raman,9,"Crimes Against Body, Crimes Against Property, Motor Vehicle Offences, Domestic Violence, Economic Offences","BAGALKOT, BELAGAVI DIST, BENGALURU CITY, BIDAR, HASSAN",2016-07-24 19:26:00,2023-09-18 09:09:00
e47e0162f3da,Joshua Bali,9,"Motor Vehicle Offences, Crimes Against Body, Kidnapping & Abduction, Other IPC Offences, Domestic Violence","BELAGAVI DIST, BENGALURU CITY, CHICKBALLAPURA, KALABURAGI, MANDYA",2016-06-09 15:16:00,2023-12-08 22:51:00
42c5b6a13324,Eta Badami,9,"Crimes Against Property, Crimes Against Body, Crimes Against Public Tranquility, Other IPC Offences, Domestic Violence","BAGALKOT, BELAGAVI DIST, BENGALURU CITY, HASSAN, KALABURAGI",2016-01-02 21:41:00,2023-10-18 10:44:00
008d646eb388,Harinakshi Chadha,9,"Crimes Against Body, Crimes Against Property, Motor Vehicle Offences, Public Order Violations, Cheating & Fraud","BAGALKOT, BENGALURU CITY, HASSAN, MYSURU DIST, TUMAKURU",2016-02-08 10:20:00,2020-04-16 08:35:00
02262eefee31,Kashish Mander,9,"Crimes Against Body, Crimes Against Property, Other IPC Offences, Domestic Violence","BAGALKOT, BELAGAVI CITY, BENGALURU CITY, CHAMARAJANAGAR",2016-01-04 22:55:00,2022-02-11 01:13:00
e7220dcc74ca,Amaira Mand,9,"Crimes Against Property, Crimes Against Body, Robbery & Dacoity, Domestic Violence, Gambling & Betting","BAGALKOT, BELAGAVI CITY, BENGALURU CITY, GADAG, SHIVAMOGGA",2017-05-10 14:09:00,2024-03-10 11:50:00
25e0f768cf85,Kiaan Kara,8,"Crimes Against Body, Motor Vehicle Offences, Cheating & Fraud, Gambling & Betting, Narcotics & Drugs","BELAGAVI CITY, BIDAR, DAKSHINA KANNADA, GADAG, KOPPAL",2017-11-14 14:11:00,2023-04-26 12:15:00
167edfe90d92,Fitan Dugar,8,"Crimes Against Women, Cheating & Fraud, Crimes Against Body, Sexual Offences, Gambling & Betting","BENGALURU CITY, CHAMARAJANAGAR, HAVERI, RAMANAGARA",2016-08-17 17:03:00,2023-08-02 01:13:00
